#,Nome do negócio,Categoria,Telefone,WhatsApp?,WhatsApp (nº),E-mail,Instagram,Site,Cidade,Bairro,UF,Nota,Avaliações,Tempo ativ. (est.),Observação (argumento),Google Maps
143,Essencial Estofados & Decorações,Loja de móveis,(44) 3029-3756,Não,,contato@essencialestofadosmaringa.com.br,https://www.instagram.com/essencialestofados,http://www.essencialmaringa.com.br/,Maringá,Parque das Laranjeiras,Paraná,4.5,63,3+ anos (est.),estabelecida (63 aval.),https://www.google.com/maps/search/?api=1&query=Essencial%20Estofados%20%26%20Decora%C3%A7%C3%B5es&query_place_id=ChIJ76YOPr3W7JQRp0E4kUS0M0w
144,Tapeçaria Iguaçu,Tapeçaria,(43) 3254-8691,Não,,,https://www.instagram.com/tapecariaiguacu/,https://www.instagram.com/tapecariaiguacu/,Cambé,Jardim Santo Amaro,Paraná,5,60,3+ anos (est.),sem e-mail público • estabelecida (60 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Igua%C3%A7u&query_place_id=ChIJk2tNjzVa65QR-pvjkPbRwrY
145,Tapeçaria Diniz,Tapeçaria,(44) 3029-2577,Não,,,,https://www.tapecariadiniz.com.br/,Maringá,Jardim Alvorada,Paraná,4.5,57,3+ anos (est.),sem Instagram • sem e-mail público • estabelecida (57 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Diniz&query_place_id=ChIJa_gxsC7R7JQR1MMkaDwjis8
146,Tapeçaria Rio Claro,Estofamento automotivo,(43) 3258-4201,Não,,tapecariarioclaro@hotmail.com,https://www.instagram.com/jornaldacidade.net.br,https://tapecariarioclaroibipora.wordpress.com/,Ibiporã,Santa Paula,Paraná,4.6,56,3+ anos (est.),estabelecida (56 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Rio%20Claro&query_place_id=ChIJI9numcpG65QRjs5AoeEL1rA
147,Tapeçaria Fernandes,Tapeçaria,(44) 3263-4541,Não,,,https://www.instagram.com/tapecaria_fernandes_mga,https://www.instagram.com/tapecaria_fernandes_mga,Maringá,Zona 07,Paraná,4.6,53,3+ anos (est.),sem e-mail público • estabelecida (53 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Fernandes&query_place_id=ChIJcyWMYQbQ7JQRW0ZsY5UQkEc
148,Tapeçaria Automotiva - Carros Antigos - Carros Classicos - Restauração - Costura Eletronica,Tapeçaria,(43) 3251-3884,Não,,contato@tapecariaautomotiva.com,https://www.instagram.com/automotiva_tapecaria,https://tapecariaautomotiva.com/,Cambé,Centro,Paraná,4.7,48,1-3 anos (est.),estabelecida (48 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Automotiva%20-%20Carros%20Antigos%20-%20Carros%20Classicos%20-%20Restaura%C3%A7%C3%A3o%20-%20Costura%20Eletronica&query_place_id=ChIJm_L40VxZ65QRRTIVEGITudk
149,Tapeçaria Maracanã,Tapeçaria,(43) 3055-3470,Não,,,,http://www.tapecariamaracana.com.br/,Arapongas,Vila Industrial,Paraná,4.8,48,1-3 anos (est.),sem Instagram • sem e-mail público • estabelecida (48 aval.),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Maracan%C3%A3&query_place_id=ChIJlROUW3uh7JQR-fy4O8qHo-4
150,Só Sofa - Estofados Direto de Fábrica,Loja de sofás,(43) 3275-1459,Não,,,,https://www.sosofa.com.br/,Arapongas,Vila Industrial,Paraná,4.4,22,1-3 anos (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=S%C3%B3%20Sofa%20-%20Estofados%20Direto%20de%20F%C3%A1brica&query_place_id=ChIJOesVZIOh7JQRebIvnhwK644
151,Fratello Estofados,Tapeçaria,(43) 3152-3031,Não,,contato@fratellopoltronas.com.br,,http://www.fratellopoltronas.com.br/,Arapongas,Parque Industrial,Paraná,4.5,12,~1 ano (est.),sem Instagram,https://www.google.com/maps/search/?api=1&query=Fratello%20Estofados&query_place_id=ChIJdakBYFKh7JQRxrjZvL9tVbw
152,Bancouros fabrica,Tapeçaria,(43) 3367-4017,Não,,,https://www.instagram.com/bancouros,http://www.bancourosbrasil.com.br/,Cambé,Jardim Taroba,Paraná,5,11,~1 ano (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Bancouros%20fabrica&query_place_id=ChIJyWTsJqVZ65QRch08F5VJFqA
153,Samec Indústria de Estofados,Fabricante de móveis,(44) 3264-1433,Não,,,https://www.instagram.com/samecestofados,http://www.samecmoveis.com.br/,Sarandi,Parque Industrial,Paraná,3.7,9,~1 ano (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Samec%20Ind%C3%BAstria%20de%20Estofados&query_place_id=ChIJZTvKScra7JQRTilTXEwVzxU
154,Bella Arte Estofados,Tapeçaria,(43) 3256-6490,Não,,,,https://bellaarteestofados.com.br/,Rolândia,Centro,Paraná,4.7,7,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=Bella%20Arte%20Estofados&query_place_id=ChIJCW9dX7in7JQR0IeS8EZ-oUU
155,VR Estofados,Loja de móveis,(44) 3042-2553,Não,,,,https://is.gd/VREstofadosWhatsapp,Sarandi,Jardim Independencia,Paraná,4.9,7,~1 ano (est.),sem Instagram • sem e-mail público,https://www.google.com/maps/search/?api=1&query=VR%20Estofados&query_place_id=ChIJkw6-B3TQ7JQRPxkdPERJUEg
156,Apolo Estofados,Moveleiro,(43) 3152-7115,Não,,,https://www.instagram.com/apoloestofados,https://apoloestofados.com.br/,Arapongas,Parque Industrial II,PR,5,5,~1 ano (est.),sem e-mail público,https://www.google.com/maps/search/?api=1&query=Apolo%20Estofados&query_place_id=ChIJW7AfXFWh7JQRz50N3B81BuI
157,Mallu Estofados Click Home,Fabricante,(43) 3252-0633,Não,,,https://www.instagram.com/lojaclickhome,https://www.clickhomeoficial.com.br/,Arapongas,Centro,Paraná,5,4,~1 ano (est.),sem e-mail público • poucas avaliações (4),https://www.google.com/maps/search/?api=1&query=Mallu%20Estofados%20Click%20Home&query_place_id=ChIJqyQnvNKn7JQRIz-mSNtqk7E
158,Tapeçaria Do Wanderley,Loja de móveis,(43) 3256-3911,Não,,,,https://www.facebook.com/tapecariadowanderley?mibextid=ZbWKwL,Rolândia,Jardim Maracana,Paraná,5,1,indefinido,sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Tape%C3%A7aria%20Do%20Wanderley&query_place_id=ChIJ24HBq82n7JQRH_WYiERcFLs
159,Sonhar Estofados,Moveleiro,(43) 3152-9902,Não,,,,https://www.sonharestofados.com.br/,Arapongas,Jardim Aeroporto,Paraná,5,1,indefinido,sem Instagram • sem e-mail público • poucas avaliações (1),https://www.google.com/maps/search/?api=1&query=Sonhar%20Estofados&query_place_id=ChIJpXSgXICl7JQRDKU6meaAG7c
